Name;Kurzbeschreibung;Primäres Datenbankmodell;Punkte;Rang; Suchmaschinen;Website;Technische Dokumentation;Entwickler;Erscheinungsjahr;Aktuelle Version;Lizenz;Ausschließlich ein Cloud-Service;DBaaS Angebote;Implementierungssprache;Server Betriebssysteme;Datenschema;Typisierung;XML Unterstützung;Sekundärindizes;SQL Support of SQL;APIs und andere Zugriffskonzepte;Unterstützte Programmiersprachen;Server-seitige Scripts Stored Procedures;Triggers;Partitionierungsmechanismen Methoden zum Speichern von unterschiedlichen Daten auf unterschiedlichen Knoten;Replikationsmechanismen Methoden zum redundanten Speichern von Daten auf mehreren Knoten;MapReduce Bietet ein API für Map/Reduce Operationen;Konsistenzkonzept Methoden zur Sicherstellung der Konsistenz in einem verteilten System;Fremdschlüssel referenzielle Integrität;Transaktionskonzept Unterstützung zur Sicherstellung der Datenintegrität bei nicht-atomaren Datenmanipulationen;Concurrency;Durability Dauerhafte Speicherung der Daten;In-Memory Unterstützung; Graph DBMS;Berechtigungskonzept;; Document Stores; Key-Value Stores; Relational DBMS; Time Series DBMS; Multivalue DBMS;Sekundäre Datenbankmodelle; Object oriented DBMS; RDF Stores; Wide Column Stores; Navigational DBMS; Event Stores; Native XML DBMS; Content Stores
Solr;Eine häufig verwendete Suchmaschinentechnologie basierend auf Apache Lucene;Suchmaschine;57,78;#17; #3 ;lucene.apache.org/solr;lucene.apache.org/solr/resources.html;Apache Software Foundation;2004;8.3.0, November 2019;Open Source Apache Version 2;nein;;Java;Alle Betriebssysteme mit einer Java VM und einem Servlet Container Läuft als Servlet in einem Servlet Container (z.B. Tomcat, Jetty ist inkludiert);ja Dynamic Fields enables on-the-fly addition of new fields;ja mit benutzerdefinierten Datentypen und automatic typing;nein;ja Alle Suchfelder werden automatisch indiziert;nein unterstützt 'limited query time joins';Java API RESTful HTTP API;.Net Erlang Java JavaScript jede Sprache, die Sockets und entweder XML oder JSON unterstützt Perl PHP Python Ruby Scala;Java plugins;ja User configurable commands triggered on index changes;Sharding;cloud/distributed (via Zookeeper) Master-Slave Replikation;nein;Eventual Consistency Slaves pollen in definierten Intervallen nach Ã„nderungen am Master;nein;optimistic Locking Solr 4;ja;ja;nein;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
HugeGraph;A fast-speed and highly-scalable Graph DBMS;Graph DBMS;0,07;#309;null;github.com/hugegraph;hugegraph.github.io/hugegraph-doc;Baidu;2018;0.9;Open Source Apache Version 2.0;nein;;Java;Linux macOS Unix;ja;ja;nein;ja also supports composite index and range index;nein;Java API RESTful HTTP API TinkerPop Gremlin;Groovy Java Python;asynchronous Gremlin script jobs;nein;ja depending on used storage backend, e.g. Cassandra and HBase;ja depending on used storage backend, e.g. Cassandra and HBase;via hugegraph-spark;Eventual Consistency;ja edges in graph;ACID;ja;ja;ja; #29 ;Users, roles and permissions;null;null;null;null;null;null;null;null;null;null;null;null;null;null
GlobalsDB;A free multi-dimensional data engine.;Document Store Graph DBMS Key-Value Store;null;null;null;github.com/Globals/GlobalsDB;null;null;2011;null;kommerziell Lizenzen sind gratis;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;The developoment and maintenance of GlobalsDB seem to be discontinued. There are no activities since 2012.;null;null;null;null;null;null;null;null;null;null;null;null;null
Amazon DynamoDB;Gehostetes, skalierbares Datenbankservice von Amazon, die Daten werden in der Amazon Cloud gespeichert;Document Store Key-Value Store;61,37;#16;null;aws.amazon.com/dynamodb;docs.aws.amazon.com/dynamodb;Amazon;2012;null;kommerziell kostenlos bis zu einer gewissen Anzahl von Datenbankoperationen;ja;;null;gehostet;schemafrei;ja;null;ja;nein;RESTful HTTP API;.Net ColdFusion Erlang Groovy Java JavaScript Perl PHP Python Ruby;nein;ja by integration with AWS Lambda;Sharding;ja;nein kann über Amazon Elastic MapReduce (Amazon EMR) realisiert werden;Eventual Consistency Immediate Consistency kann bei LeseOperationen spezifiziert werden;nein;ACID ACID across one or more tables within a single AWS account and region;ja;ja;null;null;Zugriffsrechte für Benutzer und Rollen über AWS Identity and Access Management (IAM) definierbar;null; #2 ; #2 ;null;null;null;null;null;null;null;null;null;null;null
Oracle Coherence;Oracles in-memory data grid solution;Key-Value Store;2,47;#104;null;www.oracle.com/technetwork/middleware/coherence/overview/index.html;www.oracle.com/technetwork/middleware/coherence/documentation/index.html;Oracle;2007;12c, September 2016;kommerziell;nein;;Java;Alle Betriebssysteme mit einer Java VM;schemafrei;ja;nein;nein;nein;JCache JPA RESTful HTTP API;.Net C++ Java;nein;ja Live Events;Sharding;ja, mit wählbarer Konsistenz;nein;Eventual Consistency Immediate Consistency;nein;konfigurierbar;ja;ja optionally;ja;null;authentification to access the cache via certificates or http basic authentication;null;null; #20 ;null;null;null;null;null;null;null;null;null;null;null
MapDB;null;Key-Value Store;0,47;#211;null;www.mapdb.org;null;null;2002;null;Open Source Apache Version 2;nein;;Java;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #37 ;null;null;null;null;null;null;null;null;null;null;null
Comdb2;A distributed RDBMS designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.;Relational DBMS;0,30;#238;null;github.com/bloomberg/comdb2;bloomberg.github.io/comdb2/overview_home.html;Bloomberg Finance L.P.;2004;null;Open Source Apache 2.0;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #111 ;null;null;null;null;null;null;null;null;null;null
SQream DB;a GPU-based, columnar RDBMS for big data analytics workloads;Relational DBMS;0,43;#214;null;sqream.com;docs.sqream.com/latest/manual;SQream Technologies;2014;2019.2.1, Juli 2019;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #100 ;null;null;null;null;null;null;null;null;null;null
TransLattice;null;Relational DBMS;0,17;#263;null;www.translattice.com;null;null;2007;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #123 ;null;null;null;null;null;null;null;null;null;null
Amazon SimpleDB;Gehostetes einfaches Datenbankservice von Amazon, die Daten liegen in der Amazon Cloud. Es gibt ein unabhängiges Produkt namens SimpleDB von Edward Sciore;Key-Value Store;2,64;#96;null;aws.amazon.com/simpledb;docs.aws.amazon.com/simpledb;Amazon;2007;null;kommerziell;ja;;null;gehostet;schemafrei;nein;null;ja Alle Spalten werden automatisch indiziert;nein;RESTful HTTP API;.Net C C++ Erlang Java PHP Python Ruby Scala;nein;nein;keine Sharding muss in der Applikation implementiert werden;ja;nein;Eventual Consistency Immediate Consistency kann bei LeseOperationen spezifiziert werden;nein;nein Parallel ausgeführte Datenänderungen können von der Applikation entdeckt werden;ja;ja;null;null;Zugriffsrechte für Benutzer und Rollen über AWS Identity and Access Management (IAM) definierbar;null;null; #18 ;null;null;null;null;null;null;null;null;null;null;null
SearchBlox;null;Suchmaschine;0,28;#241; #14 ;www.searchblox.com;null;null;2003;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
VictoriaMetrics;Long-term remote storage for Prometheus;Time Series DBMS;0,07;#314;null;victoriametrics.com;github.com/VictoriaMetrics/VictoriaMetrics/wiki;null;null;null;Open Source;nein;;Go;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #26 ;null;null;null;null;null;null;null;null;null
UniData,UniVerse;MultiValue DBMS und Application Server mit SQL Mapping Layer;Multivalue DBMS;3,43;#80;null;www.rocketsoftware.com/products/rocket-u2;www.rocketsoftware.com/products/rocket-u2/documentation;Rocket Software;1985;null;kommerziell;nein;;C;AIX HP-UX Linux Solaris Windows;schemafrei;optional;null;ja;ja;Java API JPA JDBC ODBC OLE DB Propriätäres Protokoll RESTful HTTP API SOAP-basiertes API;.Net Basic U2 Basic C Java;ja;ja U2 Basic;keine;Master-Slave Replikation;nein;null;nein;ACID konfigurierbar;ja;ja;null;null;Benutzer mit Berechtigungskonzept entsprechend SQL-Standard und betriebssystem-basiert;null;null;null;null;null; #2 ;null;null;null;null;null;null;null;null
Firebird;Firebird ist ein Open Source RDBMS abgeleitet von Borlands InterBase;Relational DBMS;22,09;#30;null;www.firebirdsql.org;www.firebirdsql.org/en/reference-manuals;Firebird Foundation;2000 Als Fork von Borlands InterBase;3.0.4, Oktober 2018;Open Source Initial Developer's Public License;nein;;C und C++;AIX FreeBSD HP-UX Linux OS X serverlos Firebird Embedded Server Solaris Unix Windows;ja;ja;null;ja;ja;ADO.NET C/C++ API JDBC Jaybird ODBC OLE DB;C C# C++ Delphi Java JavaScript Node.js Lua Perl PHP Python Ruby;PSQL;ja;keine;keine verfügbar über Fremdprodukte;nein;null;ja;ACID;ja MVCC Architektur, lesende Clients blockieren schreibende Clients nicht;ja;null;null;Benutzer mit feingranularem Berechtigungskonzept;null;null;null; #18 ;null;null;null;null;null;null;null;null;null;null
TerminusDB former name was DataChemist;Scalable Graph Database platform making enterprise data available by exploiting inferred entities and relationships;Graph DBMS;0,01;#342;null;terminusdb.com;terminusdb.com/docs;DataChemist Ltd.;2018;1.0, 2018;Open Source GPL V3;nein;;Prolog, Rust;Linux;ja;ja;nein;null;SQL-like query language (WOQL);OWL RESTful HTTP API WOQL (Web Object Query Language);JavaScript Python;ja;ja;Graph Partitioning;Journaling Streams;nein;null;ja;ACID;ja;ja in-memory journaling;null; #32 ;Role-based access control;null;null;null;null;null;null;Document Store RDF Store;null;null;null;null;null;null;null
Northgate Reality;null;Multivalue DBMS;0,58;#195;null;www.nps-reality.com;null;null;1973;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #7 ;null;null;null;null;null;null;null;null
Elasticsearch;Eine moderne Such- und Analyseplattform basierend auf Apache Lucene Elasticsearch lets you perform and combine many types of searches such as structured, unstructured, geo, and metric;Suchmaschine;148,40;#7; #1 ;www.elastic.co/products/elasticsearch;www.elastic.co/guide/en/elasticsearch/reference/current/index.html;Elastic;2010;7.3.0, August 2019;Open Source Apache Version 2, Elastic License;nein;Elasticsearch Service on Elastic Cloud: Try out the official hosted Elasticsearch and Kibana offering available on AWS and GCP that's powered by the creators of Elasticsearch.;Java;Alle Betriebssysteme mit einer Java VM;schemafrei Flexible Typdefinitionen, die - sobald definiert - persistent bleiben.;ja;nein;ja Alle Suchfelder werden automatisch indiziert;SQL-like query language;Java API RESTful HTTP/JSON API;.Net Groovy Community Contributed Clients Java JavaScript Perl PHP Python Ruby;ja;ja Mittels Verwendung des 'Percolation' features;Sharding;ja;ES-Hadoop Connector;Eventual Consistency Synchrone dokumentenbasierte Replikation. Write consistency konfigurierbar: one, quorum, all;nein;nein;ja;ja;Memcached and Redis integration;null;null;null;null;null;null;null;null;Document Store;null;null;null;null;null;null;null
InterSystems IRIS;A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability;Document Store Key-Value Store Object oriented DBMS Relational DBMS;0,93;#159;null;www.intersystems.com/products/intersystems-iris;docs.intersystems.com/irislatest/csp/docbook/DocBook.UI.Page.cls;InterSystems;2018;2018.1.1, February 2018;kommerziell;nein;;null;AIX Linux macOS Windows;depending on used data model;ja;ja;ja;ja;JDBC ODBC RESTful HTTP API;.Net C++ Java JavaScript (Node.js) Python;ja;ja;Sharding;Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;ja;null;yes;null; #22 ; #27 ; #76 ;null;null;null; #6 ;null;null;null;null;null;null
Oracle Essbase;Multidimensional database platform for analytic applications;Relational DBMS;10,82;#41;null;www.oracle.com/technetwork/middleware/essbase/overview/index.html;null;Oracle;1998 as a product of the companies Arbor Software and Hyperion Software;12.2.1, Juni 2016;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #25 ;null;null;null;null;null;null;null;null;null;null
Transbase;A resource-optimized, high-performance, universally applicable RDBMS;Relational DBMS;0,10;#288;null;www.transaction.de/en/home.html;www.transaction.de/en/info-center/product-documentation.html;Transaction Software GmbH;1987;Transbase 8.2, Mai 2019;kommerziell Development Lizenz gratis;nein;;C und C++;FreeBSD Linux macOS Solaris Windows;ja;ja;nein;ja;ja;ADO.NET JDBC ODBC Proprietäres native API;C C# C++ Java JavaScript Kotlin Objective-C PHP Python;ja;ja;null;Master-Slave Replikation;nein;Immediate Consistency;ja;ja;ja;ja;nein;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #130 ;null;null;null;null;null;null;null;null;null;null
4store;null;RDF Store;0,35;#230;null;github.com/4store/4store;null;null;2009;null;Open Source GPLv3;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #11 ;null;null;null;null;null
Dgraph;Verteiltes, skalierbares Graph DBMS;Graph DBMS;1,04;#146;null;dgraph.io;docs.dgraph.io;Dgraph Labs, Inc.;2016;null;Open Source Apache 2.0;nein;;Go;Linux OS X Windows;schemafrei;ja;nein;ja;nein;GraphQL query language gRPC (using protocol buffers) API HTTP API;C# C++ Go Java JavaScript (Node.js) PHP Python Ruby;nein;nein;ja;Synchronous replication via Raft;nein;Immediate Consistency;nein;ACID;ja;ja;null; #9 ;nein Planned for future releases;null;null;null;null;null;null;null;null;null;null;null;null;null;null
InfiniDB;spaltenorientiertes RDBMS mit MySQL Frontend;Relational DBMS;null;null;null;null;null;null;2000;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Operation of InfiniDB was closed in 2014, but MariaDB is using its technology and providing some maintenance services.;null;null;null;null;null;null;null;null;null;null;null;null;null
NosDB;Scalable JSON based document store for .NET;Document Store;0,10;#285;null;www.alachisoft.com/nosdb;www.alachisoft.com/resources/docs/#nosdb;Alachisoft;2016;null;Open Source Professional and Enterprise Versions available;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #39 ;null;null;null;null;null;null;null;null;null;null;null;null
D3;null;Multivalue DBMS;1,27;#135;null;www.rocketsoftware.com/products/rocket-d3;null;null;1999;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #4 ;null;null;null;null;null;null;null;null
Actian PSQL UrsprÃ¼nglich Pervasive PSQL or Btrieve genannt;RDBMS used for embedded databases Ursprünglich Pervasive PSQL or Btrieve genannt;Relational DBMS;0,24;#249;null;www.actian.com/data-management/psql-embedded-database;null;null;1982;PSQL v12, September 2015;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #116 ;null;null;null;null;null;null;null;null;null;null
Sqrrl;Adaptable, secure NoSQL built on Apache Accumulo;Document Store Graph DBMS Key-Value Store Wide Column Store;0,49;#209;null;sqrrl.com;null;Amazon ursprünglich Sqrrl Data, Inc.;2012;null;kommerziell;nein;;Java;Linux;schemafrei;ja;null;ja;nein;Accumulo Shell Java API JDBC ODBC RESTful HTTP API Thrift;Actionscript C using GLib C# C++ Cocoa Delphi Erlang Go Haskell Java JavaScript OCaml Perl PHP Python Ruby Smalltalk;nein;nein;Sharding Basierend auf Hadoop;frei wählbarer Replikationsfaktor basierend auf Hadoop;ja;Immediate Consistency Document store kept consistent with combination of global timestamping, row-level transactions, and server-side consistency resolution.;nein;Atomic updates per row, document, or graph entity;ja;ja;null; #17 ;Cell-level Security, Data-Centric Security, Role-Based Access Control (RBAC), Attribute-Based Access Control (ABAC);null; #31 ; #36 ;null;null;null;null;null;null; #10 ;null;null;null;null
GraphDB UrsprÃ¼nglicher Name: OWLIM;Enterprise RDF and graph database with efficient reasoning, cluster and external index synchronization support;Graph DBMS RDF Store;1,13;#141;null;graphdb.ontotext.com;graphdb.ontotext.com/documentation;Ontotext;2000;8.8, Jänner 2019;kommerziell Limitierte Edition gratis;nein Named S4, Ontotext provides a semantic graph database based on GraphDB in the cloud.;;Java;Alle Betriebssysteme mit einer Java VM Linux OS X Windows;schema-free and OWL/RDFS-schema support;ja;nein;yes, supports real-time synchronization and indexing in SOLR/Elastic search/Lucene and GeoSPARQL geometry data indexes;SPARQL is used as query language;GeoSPARQL Java API RDF4J API RIO Sail API Sesame REST HTTP Protocol SPARQL 1.1;.Net C# Clojure Java JavaScript (Node.js) PHP Python Ruby Scala;Java Server Plugin;nein;keine;Master-Master Replikation;nein;Immediate Consistency, Eventual consistency (configurable in cluster mode per master or individual client request);ja Constraint checking;ACID;ja;ja;null; #8 ;ja;null;null;null;null;null;null;null;null; #5 ;null;null;null;null;null
Couchbase UrsprÃ¼nglich Membase genannt;Von CouchDB abgeleiteter JSON-basierter Document Store mit Memcached-kompatiblem Interface;Document Store;31,99;#23;null;www.couchbase.com;docs.couchbase.com;Couchbase, Inc.;2011;Server: 6.0, Oktober 2018, Mobile: 2.5, Mai 2019, Couchbase Autonomous Operator: 1.2, Mai 2019;Open Source Apache version 2, Commercial licenses also available;nein;;C, C++, Go and Erlang;Linux OS X Windows;schemafrei;ja String, Boolean, Number;null;ja;Declarative query language (N1QL) that extends ANSI SQL to JSON. First commercial implementation of SQL++.;Native language bindings for CRUD, Query, Search and Analytics APIs;.Net C Clojure ColdFusion Erlang Go Java JavaScript Node.js Perl PHP Python Ruby Scala Tcl;Functions and timers in JavaScript;ja über das TAP Protokoll;Sharding;Master-Master Replikation inklusive cross data center replication Master-Slave Replikation;ja;Eventual Consistency Immediate Consistency pro Operation auswählbar;nein;Single-document ACID transactions;ja;ja;ja Ephemeral buckets;null;Unterscheidung von Benutzer und Administrator mittels Passwort oder LDAP;null; #3 ;null;null;null;null;Key-Value Store originating from the former Membase product and supporting the Memcached protocol;null;null;null;null;null;null;null
Algebraix;null;RDF Store;0,34;#231;null;algebraixdata.com;null;null;2009;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #12 ;null;null;null;null;null
RaptorDB;null;Document Store;0,08;#296;null;raptordb.codeplex.com;null;null;null;null;Open Source Apache Version 2;nein;;C#;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #40 ;null;null;null;null;null;null;null;null;null;null;null;null
etcd;A distributed reliable key-value store;Key-Value Store;7,15;#48;null;etcd.io github.com/etcd-io/etcd;etcd.io/docs github.com/etcd-io/etcd/tree/master/Documentation;null;null;3.4, August 2019;Open Source Apache Version 2.0;nein;;Go;FreeBSD Linux Windows experimental;schemafrei;nein;nein;nein;nein;gRPC JSON over HTTP;.Net C C++ Clojure Erlang Go Haskell Java JavaScript (Node.js) Perl PHP Python R Ruby Rust Scala Tcl;nein;yes, watching key changes;null;Using Raft consensus algorithm to ensure data replication with strong consistency among multiple replicas.;nein;Immediate Consistency;nein;nein;ja;ja;nein;null;nein;null;null; #6 ;null;null;null;null;null;null;null;null;null;null;null
EXASOL;High-performance, in-memory, MPP database specifically designed for in-memory analytics.;Relational DBMS;3,01;#87;null;www.exasol.com/en/products;www.exasol.com/en/community/resources;Exasol;2000;null;kommerziell;nein;;null;null;ja;ja;nein;ja;ja;.Net JDBC ODBC WebSocket;Java Lua Python R;benutzerdefinierte Funktionen;ja;Sharding;null;ja Hadoop integration;Immediate Consistency;ja;ACID;ja;ja;ja;null;Access rights for users, groups and roles according to SQL-standard;null;null;null; #44 ;null;null;null;null;null;null;null;null;null;null
LeanXcale;Full ACID, highly scalable DBMS for OLTP and OLAP applications with transactions on distributed data;Key-Value Store Relational DBMS;0,18;#261;null;www.leanxcale.com;null;LeanXcale;2015;null;kommerziell;nein;;null;null;ja;null;null;null;ja through Apache Derby;JDBC proprietary key/value interface;null;null;null;null;null;nein;Immediate Consistency;ja;ACID;ja;ja;nein;null;null;null;null; #44 ; #122 ;null;null;null;null;null;null;null;null;null;null
ScaleArc formerly known as ScaleBase;Verteilte Datenhaltung und Sharding mit standard MySQL, SQL Server oder Oracle Instanzen;Relational DBMS;0,73;#174;null;www.scalearc.com;support.scalearc.com;ScaleArc, 2018 acquired byIgnite Technologies, Inc;2009;null;kommerziell Limitierte Edition gratis;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #85 ;null;null;null;null;null;null;null;null;null;null
SQLite;Weit verbreitetes In-Process RDBMS;Relational DBMS;121,03;#11;null;www.sqlite.org;www.sqlite.org/docs.html;Dwayne Richard Hipp;2000;3.30.1, Oktober 2019;Open Source Public Domain;nein;;C;serverlos;ja dynamische Spaltentypen;ja keine strenge Typisierung wegen 'dynamic typing';nein;ja;ja SQL-92 wird nicht vollständig unterstützt;ADO.NET inoffizielle Driver JDBC inoffizielle Driver ODBC inoffizielle Driver;Actionscript Ada Basic C C# C++ D Delphi Forth Fortran Haskell Java JavaScript Lisp Lua MatLab Objective-C OCaml Perl PHP PL/SQL Python R Ruby Scala Scheme Smalltalk Tcl;nein;ja;keine;keine;nein;null;ja;ACID;ja mittels Filesystem-Locks;ja;ja;null;nein;null;null;null; #7 ;null;null;null;null;null;null;null;null;null;null
IMS;null;Navigational DBMS;2,56;#102;null;www.ibm.com/software/data/ims;www.ibm.com/support/knowledgecenter/SSEPH2;IBM;1966;IMS V15, Oktober 2017;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #1 ;null;null;null
Google Cloud Firestore;Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.;Document Store;5,80;#56;null;firebase.google.com/products/firestore;firebase.google.com/docs/firestore;Google;2017;null;kommerziell;ja;;null;gehostet;schemafrei;ja;nein;ja;nein;Android gRPC (using protocol buffers) API iOS JavaScript API RESTful HTTP API;Go Java JavaScript JavaScript (Node.js) Objective-C Python;yes, Firebase Rules & Cloud Functions;yes, with Cloud Functions;Sharding;Master-Master Replikation;Using Cloud Dataflow;Immediate Consistency;nein;ja;ja;ja;null;null;Access rights for users, groups and roles based on Google Cloud Identity and Access Management. Security Rules for 3rd party authentication using Firebase Auth.;null; #9 ;null;null;null;null;null;null;null;null;null;null;null;null
Firebase Realtime Database;Cloud-hosted realtime document store. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.;Document Store;11,60;#40;null;firebase.google.com/products/realtime-database;firebase.google.com/docs/database;Google acquired by Google 2014;2012;null;kommerziell;ja;;null;gehostet;schemafrei;ja;nein;ja;nein;Android iOS JavaScript API RESTful HTTP API;Java JavaScript Objective-C;limited functionality with using 'rules';Callbacks are triggered when data changes;null;null;nein;Eventual Consistency if the client is offline Immediate Consistency if the client is online;nein;ja;ja;ja;null;null;yes, based on authentication and database rules;null; #7 ;null;null;null;null;null;null;null;null;null;null;null;null
Amazon Redshift;Large scale data warehouse service for use with business intelligence tools;Relational DBMS;21,78;#31;null;aws.amazon.com/redshift;docs.aws.amazon.com/redshift;Amazon (based on PostgreSQL);2012;null;kommerziell;ja;;C;gehostet;ja;ja;nein;eingeschränkt;ja keine vollständige Unterstützung eines SQL-Standards;JDBC ODBC;All languages supporting JDBC/ODBC;benutzerdefinierte Funktionen in Python;nein;Sharding;ja;nein;Immediate Consistency;ja werden aber nicht 'enforced';ACID;ja;ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #19 ;null;null;null;null;null;null;null;null;null;null
Percona Server for MongoDB;A drop-in replacement for MongoDB Community Edition with enterprise-grade features.;Document Store;0,53;#203;null;www.percona.com/software/mongo-database/percona-server-for-mongodb;www.percona.com/doc/percona-server-for-mongodb/LATEST/index.html;Percona;2015;3.4.10-2.10, November 2017;Open Source GPL Version 2;nein;;C++;Linux;schemafrei;ja;nein;ja;nein;Proprietäres Protokoll basierend auf JSON;Actionscript C C# C++ Clojure ColdFusion D Dart Delphi Erlang Go Groovy Haskell Java JavaScript Lisp Lua MatLab Perl PHP PowerShell Prolog Python R Ruby Scala Smalltalk;JavaScript;nein;Sharding;Master-Slave Replikation;ja;Eventual Consistency Immediate Consistency;nein;nein;ja;ja;ja via In-Memory Engine;null;Access rights for users and roles;null; #30 ;null;null;null;null;null;null;null;null;null;null;null;null
IBM Db2 Event Store;Distributed Event Store optimized for Internet of Things use cases;Event Store Time Series DBMS;0,24;#250;null;www.ibm.biz/eventstore;www.ibm.com/support/knowledgecenter/en/SSGNPV_1.1.2/eventstore/welcome.html;IBM;2017;1.1.3;kommerziell free developer edition available;nein;;C++, Scala;Linux Linux, macOS, Windows for the developer addition;ja;ja;nein;nein;ja through the embedded Spark runtime;JDBC RESTful HTTP API;Java Python Scala;nein;nein;Sharding;Active-active shard replication;nein;Eventual Consistency;nein;nein;No - written data is immutable;Yes - Synchronous writes to local disk combined with replication;ja;null;User level access control;null;null;null;null; #15 ;null;null;null;null;null;null; #2 ;null;null
Terrastore;null;Document Store;null;null;null;code.google.com/archive/p/terrastore;null;null;null;null;Open Source Apache Version 2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Terrastore is still in version 0.8 with the last release created in 2011. It is therefore removed from the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
Mnesia;null;Document Store;1,51;#129;null;erlang.org/doc/man/mnesia.html;null;null;1999;4.15.4, Juni 2018;Open Source proprietäre Lizenz;nein;;Erlang;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #19 ;null;null;null;null;null;null;null;null;null;null;null;null
