Rank,URLName,Git_URL
2,MySQL,https://github.com/mysql/mysql-server
4,PostgreSQL,https://github.com/postgres/postgres
5,MongoDB,https://github.com/mongodb/mongo
7,Elasticsearch,https://github.com/elastic/elasticsearch
8,Redis,https://github.com/antirez/redis
10,Cassandra,https://github.com/apache/cassandra
11,SQLite,https://github.com/sqlite/sqlite
13,MariaDB,https://github.com/MariaDB/server
14,Hive,https://github.com/apache/hive
17,Solr,https://github.com/apache/lucene-solr
21,HBase,https://github.com/apache/hbase
22,Neo4j,https://github.com/neo4j/neo4j
23,Couchbase,https://github.com/couchbase/ns_server
28,Memcached,https://github.com/memcached/memcached
30,Firebird,https://github.com/FirebirdSQL/firebird
33,InfluxDB,https://github.com/influxdata/influxdb
34,CouchDB,https://github.com/apache/couchdb
35,Spark SQL,https://github.com/apache/spark
36,Impala,https://github.com/apache/impala
39,Greenplum,https://github.com/greenplum-db/gpdb
44,Presto,https://github.com/prestodb/presto
45,Realm,https://github.com/realm/realm-cocoa
46,Hazelcast,https://github.com/hazelcast/hazelcast
48,etcd,https://github.com/etcd-io/etcd
49,Sphinx,https://github.com/sphinxsearch/sphinx/
50,H2,https://github.com/h2database/h2database
53,Aerospike,https://github.com/aerospike/aerospike-server
54,Ehcache,https://github.com/ehcache/ehcache3
57,Riak KV,https://github.com/basho/riak_kv
59,OrientDB,https://github.com/orientechnologies/orientdb
62,Derby,https://github.com/apache/derby
63,ArangoDB,https://github.com/arangodb/arangodb
67,HyperSQL,https://git.code.sf.net/p/hsqldb/hsqldb hsqldb-hsqldb
68,Ignite,https://github.com/apache/ignite
70,Jackrabbit,https://github.com/apache/jackrabbit
72,Accumulo,https://github.com/apache/accumulo
73,RavenDB,https://github.com/ravendb/ravendb
77,RethinkDB,https://github.com/rethinkdb/rethinkdb
78,Prometheus,https://github.com/prometheus
82,ClickHouse,https://github.com/ClickHouse/ClickHouse
83,Graphite,https://github.com/graphite-project/graphite-web
84,CockroachDB,https://github.com/cockroachdb/cockroach
88,LevelDB,https://github.com/google/leveldb
89,PouchDB,https://github.com/pouchdb/pouchdb
91,RRDtool,https://github.com/oetiker/rrdtool-1.x
92,Apache Drill,https://github.com/apache/drill
95,Infinispan,https://github.com/infinispan/infinispan
97,Virtuoso,https://github.com/openlink/virtuoso-opensource
98,Apache Jena - TDB,https://github.com/apache/jena
100,Percona Server for MySQL,https://github.com/percona/percona-server
103,RocksDB,https://github.com/facebook/rocksdb
105,OmniSci,https://github.com/omnisci/omniscidb
110,ScyllaDB,https://github.com/scylladb/scylla
112,OpenTSDB,https://github.com/OpenTSDB/opentsdb
115,MonetDB,https://github.com/MonetDB/MonetDB
116,JanusGraph,https://github.com/JanusGraph/janusgraph
117,Druid,https://github.com/apache/incubator-druid
119,VoltDB,https://github.com/VoltDB/voltdb
120,Geode,https://github.com/apache/geode
122,TimescaleDB,https://github.com/timescale/timescaledb
126,TiDB,https://github.com/pingcap/tidb
129,Mnesia,https://github.com/erlang-labs/mnesia
130,BaseX,https://github.com/BaseXdb/basex
137,Cubrid,https://github.com/CUBRID/cubrid
139,Altibase,https://github.com/ALTIBASE/altibase
142,Tarantool,https://github.com/tarantool/tarantool
143,WiredTiger,https://github.com/wiredtiger/wiredtiger
145,Ncache,https://github.com/Alachisoft/NCache
146,Dgraph,https://github.com/dgraph-io/dgraph
149,LiteDB,https://github.com/mbdavid/LiteDB
150,Giraph,https://github.com/apache/giraph
155,Sedna,https://github.com/sedna/sedna
156,Citus,https://github.com/citusdata/citus
161,HAWQ,https://github.com/apache/hawq
163,ZODB,https://github.com/zopefoundation/ZODB
165,FoundationDB,https://github.com/apple/foundationdb
172,XAP,https://github.com/xap/xap
173,Xapian,https://github.com/xapian/xapian
176,YugaByte DB,https://github.com/yugabyte/yugabyte-db
178,Splice Machine,https://github.com/splicemachine/spliceengine
184,BigchainDB,https://github.com/bigchaindb/bigchaindb
185,Event Store,https://github.com/EventStore/EventStore
187,Exist-db,https://github.com/eXist-db/exist
188,SQL.JS,https://github.com/kripken/sql.js/
192,CrateDB,https://github.com/crate/crate
193,Blazegraph,https://github.com/blazegraph/database
197,GridDB,https://github.com/griddb/griddb_nosql
198,Graph Engine,https://github.com/microsoft/GraphEngine
200,BoltDB,https://github.com/boltdb/bolt
202,KairosDB,https://github.com/kairosdb/kairosdb
203,Percona Server for MongoDB ,https://github.com/percona/percona-server-mongodb
204,Redland,https://github.com/dajobe/librdf
211,MapDB,https://github.com/jankotek/mapdb
212,Rasdaman,https://github.com/kalxas/rasdaman
216,Trafodion,https://github.com/apache/trafodion
217,Postgres-XL,https://github.com/Postgres-XL/Postgres-XL
218,Project Voldemort,https://github.com/voldemort/voldemort
219,ObjectBox,https://github.com/objectbox/objectbox-java
221,AlaSQL,https://github.com/agershun/alasql
223,RDF4J,https://github.com/eclipse/rdf4j
